Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Walmart,1197831,01/28/2021,Midwest,Indiana,Evansville,Men's Athletic Footwear,88,111,9768.0,3059.1,0.31,Online
West Gear,1105732,01/28/2021,Northeast,Pennsylvania,Pittsburgh,Women's Street Footwear,69,282,19458.0,6211.36,0.32,Online
West Gear,1105732,01/28/2021,West,Washington,Spokane,Women's Apparel,58,109,6322.0,2659.07,0.42,Online
Kohl's,1189833,01/29/2020,Northeast,Massachusetts,Boston,Men's Athletic Footwear,52,284,14768.0,4906.28,0.33,Online
West Gear,1105732,01/29/2020,Southeast,Georgia,Augusta,Men's Street Footwear,73,164,11972.0,3697.01,0.31,Online
West Gear,1105732,01/29/2020,Southeast,North Carolina,Durham,Women's Athletic Footwear,51,140,7140.0,2225.9,0.31,Outlet
Kohl's,1189833,01/29/2020,South,Arkansas,Little Rock,Women's Apparel,46,324,14904.0,4221.21,0.28,Outlet
Foot Locker,1185732,01/29/2020,South,Mississippi,Gulfport,Women's Apparel,38,42,1596.0,447.99,0.28,Outlet
Foot Locker,1185732,01/29/2020,West,California,Sacramento,Men's Street Footwear,57,194,11058.0,5156.49,0.47,In-store
Walmart,1197831,01/29/2020,Southeast,Georgia,Augusta,Women's Street Footwear,52,173,8996.0,2432.65,0.27,Outlet
Walmart,1197831,01/29/2020,West,Washington,Seattle,Men's Street Footwear,65,326,21190.0,6534.14,0.31,Online
Amazon,1167421,01/29/2020,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,49,153,7497.0,2124.6,0.28,Online
Foot Locker,1185732,01/29/2020,Northeast,Massachusetts,Worcester,Men's Apparel,48,166,7968.0,3049.4,0.38,Online
Sports Direct,1128299,01/29/2020,South,Texas,Austin,Women's Athletic Footwear,57,390,22230.0,6411.51,0.29,Outlet
Kohl's,1189833,01/29/2020,South,Texas,San Antonio,Women's Street Footwear,40,72,2880.0,1028.2,0.36,Online
Sports Direct,1128299,01/29/2020,West,Oregon,Salem,Women's Street Footwear,68,304,20672.0,4743.26,0.23,Outlet
Kohl's,1189833,01/29/2020,South,Oklahoma,Oklahoma City,Men's Apparel,54,270,14580.0,6409.6,0.44,In-store
Kohl's,1189833,01/29/2020,Northeast,Connecticut,Stamford,Women's Athletic Footwear,55,387,21285.0,6860.28,0.32,Online
Amazon,1167421,01/29/2020,Midwest,Michigan,Grand Rapids,Women's Street Footwear,43,96,4128.0,1695.6,0.41,In-store
Foot Locker,1185732,01/29/2021,Southeast,Tennessee,Knoxville,Men's Street Footwear,63,104,6552.0,2308.45,0.35,Outlet
West Gear,1105732,01/29/2021,West,Washington,Seattle,Men's Street Footwear,72,188,13536.0,4480.2,0.33,Outlet
Sports Direct,1128299,01/29/2021,West,California,San Francisco,Women's Street Footwear,70,298,20860.0,7924.37,0.38,In-store
West Gear,1105732,01/29/2021,Southeast,Georgia,Savannah,Women's Athletic Footwear,48,177,8496.0,2056.94,0.24,Outlet
Amazon,1167421,01/29/2021,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,83,192,15936.0,6365.56,0.4,Online
Walmart,1197831,01/29/2021,South,Oklahoma,Tulsa,Men's Street Footwear,58,356,20648.0,5084.04,0.25,Outlet
West Gear,1105732,01/29/2021,Midwest,Minnesota,Rochester,Women's Athletic Footwear,78,363,28314.0,11852.85,0.42,Online
Kohl's,1189833,01/29/2021,South,Mississippi,Gulfport,Men's Athletic Footwear,72,50,3600.0,1511.13,0.42,In-store
Walmart,1197831,01/29/2021,Northeast,New Jersey,Jersey City,Men's Street Footwear,48,136,6528.0,2385.32,0.37,Outlet
West Gear,1105732,01/29/2021,Southeast,Georgia,Savannah,Men's Athletic Footwear,75,290,21750.0,6450.76,0.3,Outlet
Amazon,1167421,01/29/2021,Southeast,Tennessee,Knoxville,Women's Street Footwear,53,116,6148.0,2628.37,0.43,In-store
Foot Locker,1185732,01/29/2021,Southeast,Florida,Tampa,Women's Apparel,41,53,2173.0,951.44,0.44,In-store
Foot Locker,1185732,01/29/2021,Midwest,Minnesota,Rochester,Women's Athletic Footwear,85,299,25415.0,7695.54,0.3,In-store
Sports Direct,1128299,01/29/2021,South,Mississippi,Jackson,Men's Apparel,57,116,6612.0,1968.55,0.3,Outlet
Walmart,1197831,01/29/2021,West,California,Sacramento,Women's Apparel,49,346,16954.0,6467.88,0.38,Online
Kohl's,1189833,01/30/2020,South,Louisiana,New Orleans,Men's Apparel,43,72,3096.0,961.58,0.31,Outlet
Kohl's,1189833,01/30/2020,Midwest,Ohio,Cincinnati,Men's Athletic Footwear,53,198,10494.0,3139.77,0.3,Online
Sports Direct,1128299,01/30/2020,Southeast,Georgia,Savannah,Men's Street Footwear,64,218,13952.0,3638.83,0.26,Outlet
Kohl's,1189833,01/30/2020,Northeast,Pennsylvania,Allentown,Women's Street Footwear,38,350,13300.0,3935.21,0.3,Online
Sports Direct,1128299,01/30/2020,West,Nevada,Las Vegas,Women's Apparel,46,212,9752.0,2870.33,0.29,Online
West Gear,1105732,01/30/2020,Southeast,Virginia,Norfolk,Women's Apparel,55,96,5280.0,1599.85,0.3,Online
Kohl's,1189833,01/30/2020,South,Louisiana,Baton Rouge,Women's Athletic Footwear,52,59,3068.0,1018.62,0.33,Online
West Gear,1105732,01/30/2020,West,Washington,Seattle,Men's Street Footwear,51,131,6681.0,2216.63,0.33,Online
Walmart,1197831,01/30/2020,Northeast,Massachusetts,Worcester,Men's Street Footwear,46,338,15548.0,5684.1,0.37,Outlet
Kohl's,1189833,01/30/2020,West,Washington,Tacoma,Women's Athletic Footwear,54,104,5616.0,2468.62,0.44,In-store
Amazon,1167421,01/30/2020,Midwest,Ohio,Cleveland,Men's Athletic Footwear,50,168,8400.0,3688.83,0.44,Online
Amazon,1167421,01/30/2020,Northeast,Connecticut,Hartford,Men's Apparel,47,332,15604.0,4377.09,0.28,Outlet
Sports Direct,1128299,01/30/2021,Southeast,Virginia,Virginia Beach,Men's Apparel,59,301,17759.0,5092.99,0.29,Online
Sports Direct,1128299,01/30/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,66,225,14850.0,5549.9,0.37,In-store
Foot Locker,1185732,01/30/2021,West,Washington,Seattle,Men's Street Footwear,54,221,11934.0,3545.23,0.3,Online
Sports Direct,1128299,01/30/2021,Northeast,New York,New York,Women's Apparel,43,365,15695.0,5614.93,0.36,In-store
West Gear,1105732,01/30/2021,West,Washington,Spokane,Men's Apparel,32,181,5792.0,1854.9,0.32,In-store
Amazon,1167421,01/30/2021,West,California,San Diego,Men's Apparel,41,126,5166.0,1572.3,0.3,In-store
West Gear,1105732,01/30/2021,Northeast,Massachusetts,Springfield,Women's Athletic Footwear,46,50,2300.0,1111.53,0.48,In-store
West Gear,1105732,01/30/2021,West,Colorado,Colorado Springs,Women's Apparel,50,52,2600.0,646.1,0.25,Outlet
Walmart,1197831,01/30/2021,Southeast,Georgia,Augusta,Men's Apparel,41,299,12259.0,5646.79,0.46,In-store
Amazon,1167421,01/30/2021,Midwest,Michigan,Detroit,Women's Athletic Footwear,82,285,23370.0,9331.34,0.4,Online
Walmart,1197831,01/30/2021,Midwest,Ohio,Cleveland,Women's Apparel,50,298,14900.0,5268.89,0.35,In-store
Amazon,1167421,01/30/2021,South,Texas,Austin,Men's Athletic Footwear,66,218,14388.0,4588.02,0.32,Outlet
West Gear,1105732,01/30/2021,Southeast,Virginia,Richmond,Women's Street Footwear,42,127,5334.0,1792.54,0.34,Outlet
Foot Locker,1185732,01/30/2021,Midwest,Illinois,Springfield,Men's Street Footwear,42,129,5418.0,2034.54,0.38,Online
Sports Direct,1128299,01/30/2021,Midwest,Illinois,Springfield,Women's Street Footwear,55,41,2255.0,647.64,0.29,Outlet
Kohl's,1189833,01/30/2021,South,Arkansas,Fort Smith,Men's Athletic Footwear,67,379,25393.0,9666.81,0.38,Online
West Gear,1105732,01/31/2020,Northeast,Massachusetts,Boston,Men's Street Footwear,71,359,25489.0,8394.52,0.33,Online
Kohl's,1189833,01/31/2020,South,Louisiana,Shreveport,Women's Street Footwear,58,120,6960.0,2199.11,0.32,Outlet
Sports Direct,1128299,01/31/2020,South,Oklahoma,Tulsa,Women's Athletic Footwear,46,106,4876.0,1612.64,0.33,Outlet
Amazon,1167421,01/31/2020,Northeast,Pennsylvania,Allentown,Women's Athletic Footwear,70,383,26810.0,8557.44,0.32,Outlet
Amazon,1167421,01/31/2020,South,Oklahoma,Oklahoma City,Men's Street Footwear,66,116,7656.0,3814.83,0.5,In-store
Walmart,1197831,01/31/2020,West,Washington,Spokane,Men's Athletic Footwear,61,318,19398.0,5525.88,0.28,Outlet
Foot Locker,1185732,01/31/2020,Northeast,Pennsylvania,Allentown,Men's Athletic Footwear,59,209,12331.0,5009.16,0.41,Online
Sports Direct,1128299,01/31/2020,Southeast,Virginia,Richmond,Men's Athletic Footwear,75,316,23700.0,7700.03,0.32,In-store
Sports Direct,1128299,01/31/2020,Northeast,Connecticut,Stamford,Women's Street Footwear,48,97,4656.0,2060.5,0.44,Online
Amazon,1167421,01/31/2020,South,Mississippi,Jackson,Women's Athletic Footwear,47,236,11092.0,3444.03,0.31,Outlet
Foot Locker,1185732,01/31/2020,West,Washington,Tacoma,Women's Athletic Footwear,63,68,4284.0,1203.01,0.28,Outlet
Sports Direct,1128299,01/31/2020,Southeast,Virginia,Virginia Beach,Women's Apparel,61,224,13664.0,5415.72,0.4,In-store
West Gear,1105732,01/31/2020,Midwest,Minnesota,Rochester,Women's Street Footwear,58,116,6728.0,1619.72,0.24,Outlet
Foot Locker,1185732,01/31/2021,Midwest,Michigan,Ann Arbor,Men's Athletic Footwear,82,180,14760.0,6591.64,0.45,In-store
Amazon,1167421,01/31/2021,South,Arkansas,Fayetteville,Women's Street Footwear,55,136,7480.0,2421.97,0.32,Online
Foot Locker,1185732,01/31/2021,West,Oregon,Salem,Men's Street Footwear,66,122,8052.0,2861.1,0.36,Outlet
West Gear,1105732,01/31/2021,Midwest,Michigan,Grand Rapids,Men's Athletic Footwear,65,136,8840.0,3246.64,0.37,Online
Amazon,1167421,01/31/2021,South,Texas,Dallas,Men's Street Footwear,60,69,4140.0,1779.26,0.43,In-store
Foot Locker,1185732,01/31/2021,Southeast,Tennessee,Nashville,Men's Apparel,55,221,12155.0,4135.93,0.34,In-store
Walmart,1197831,01/31/2021,South,Mississippi,Gulfport,Men's Athletic Footwear,86,293,25198.0,7273.16,0.29,Online
Kohl's,1189833,01/31/2021,West,Nevada,Reno,Women's Athletic Footwear,56,220,12320.0,2916.71,0.24,Outlet
Sports Direct,1128299,01/31/2021,Northeast,New Jersey,Trenton,Women's Athletic Footwear,56,270,15120.0,5249.52,0.35,Outlet
Walmart,1197831,01/31/2021,Midwest,Indiana,Fort Wayne,Women's Apparel,44,165,7260.0,2350.37,0.32,In-store
Foot Locker,1185732,01/31/2021,Northeast,Pennsylvania,Pittsburgh,Women's Street Footwear,52,240,12480.0,3834.67,0.31,In-store
Kohl's,1189833,01/31/2021,West,Colorado,Aurora,Men's Apparel,31,107,3317.0,1066.15,0.32,Online
Foot Locker,1185732,01/31/2021,Northeast,New Jersey,Newark,Women's Apparel,46,360,16560.0,5952.93,0.36,Online
Foot Locker,1185732,01/31/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,68,272,18496.0,5817.39,0.31,Online
Kohl's,1189833,01/31/2021,South,Texas,Austin,Women's Street Footwear,52,231,12012.0,3387.06,0.28,Outlet
Sports Direct,1128299,01/31/2021,West,Colorado,Denver,Women's Apparel,50,276,13800.0,5115.44,0.37,In-store
Amazon,1167421,02/01/2020,Midwest,Illinois,Peoria,Women's Athletic Footwear,74,216,15984.0,5316.54,0.33,Online
Foot Locker,1185732,02/01/2020,Northeast,Connecticut,New Haven,Women's Apparel,32,247,7904.0,2137.31,0.27,Outlet
West Gear,1105732,02/01/2020,South,Oklahoma,Oklahoma City,Men's Apparel,32,135,4320.0,1515.77,0.35,Online
Foot Locker,1185732,02/01/2020,West,Colorado,Colorado Springs,Men's Athletic Footwear,72,135,9720.0,4193.32,0.43,In-store
Sports Direct,1128299,02/01/2020,Northeast,Massachusetts,Springfield,Men's Athletic Footwear,66,384,25344.0,12440.82,0.49,In-store
Walmart,1197831,02/01/2020,Northeast,Pennsylvania,Pittsburgh,Men's Street Footwear,72,68,4896.0,1908.7,0.39,In-store
West Gear,1105732,02/01/2020,Southeast,Tennessee,Knoxville,Women's Apparel,65,84,5460.0,2239.67,0.41,In-store
Kohl's,1189833,02/01/2020,Midwest,Indiana,Fort Wayne,Women's Athletic Footwear,55,330,18150.0,5133.92,0.28,Online
Sports Direct,1128299,02/01/2021,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,48,224,10752.0,3081.99,0.29,Online
Kohl's,1189833,02/01/2021,South,Oklahoma,Tulsa,Women's Street Footwear,41,331,13571.0,4947.79,0.36,Online
West Gear,1105732,02/01/2021,West,Oregon,Portland,Women's Athletic Footwear,67,331,22177.0,6462.94,0.29,Online
Sports Direct,1128299,02/01/2021,West,Oregon,Eugene,Women's Athletic Footwear,61,336,20496.0,5244.67,0.26,Outlet
West Gear,1105732,02/01/2021,Midwest,Ohio,Cleveland,Men's Apparel,46,235,10810.0,3429.15,0.32,Outlet
Sports Direct,1128299,02/01/2021,West,Nevada,Las Vegas,Men's Street Footwear,52,72,3744.0,1603.15,0.43,In-store
West Gear,1105732,02/01/2021,Midwest,Ohio,Cincinnati,Women's Street Footwear,45,216,9720.0,4139.2,0.43,Online
West Gear,1105732,02/01/2021,Northeast,New York,New York,Men's Athletic Footwear,75,52,3900.0,1372.63,0.35,Outlet
Walmart,1197831,02/01/2021,Northeast,Connecticut,Hartford,Women's Apparel,30,116,3480.0,1200.92,0.35,Online
Sports Direct,1128299,02/01/2021,West,Nevada,Henderson,Women's Street Footwear,46,322,14812.0,4831.08,0.33,Outlet
Sports Direct,1128299,02/01/2021,Southeast,Virginia,Richmond,Women's Street Footwear,65,337,21905.0,6918.06,0.32,Outlet
Kohl's,1189833,02/01/2021,West,California,San Francisco,Women's Athletic Footwear,82,236,19352.0,7387.6,0.38,Online
Walmart,1197831,02/02/2020,Midwest,Illinois,Peoria,Men's Athletic Footwear,77,127,9779.0,2394.36,0.24,Outlet
Amazon,1167421,02/02/2020,Southeast,Georgia,Atlanta,Women's Athletic Footwear,84,149,12516.0,3920.73,0.31,Outlet
West Gear,1105732,02/02/2020,Southeast,Virginia,Norfolk,Women's Athletic Footwear,68,89,6052.0,2492.44,0.41,Online
Sports Direct,1128299,02/02/2020,Midwest,Illinois,Peoria,Men's Street Footwear,50,241,12050.0,3776.91,0.31,Online
Kohl's,1189833,02/02/2020,West,Nevada,Henderson,Men's Street Footwear,65,272,17680.0,7115.79,0.4,Online
Kohl's,1189833,02/02/2020,South,Louisiana,New Orleans,Men's Street Footwear,65,328,21320.0,7038.18,0.33,In-store
Kohl's,1189833,02/02/2020,Southeast,Georgia,Atlanta,Women's Street Footwear,36,291,10476.0,4200.59,0.4,Online
West Gear,1105732,02/02/2021,South,Texas,San Antonio,Men's Street Footwear,73,161,11753.0,4978.81,0.42,Online
Foot Locker,1185732,02/02/2021,Southeast,Virginia,Virginia Beach,Women's Athletic Footwear,78,305,23790.0,6669.45,0.28,Outlet
West Gear,1105732,02/02/2021,Midwest,Illinois,Peoria,Men's Athletic Footwear,66,276,18216.0,9056.09,0.5,In-store
Sports Direct,1128299,02/02/2021,Southeast,Georgia,Savannah,Women's Athletic Footwear,56,82,4592.0,1049.28,0.23,Outlet
Kohl's,1189833,02/02/2021,Midwest,Indiana,Fort Wayne,Men's Athletic Footwear,90,138,12420.0,4201.52,0.34,Outlet
Kohl's,1189833,02/02/2021,West,Nevada,Henderson,Women's Athletic Footwear,52,268,13936.0,5136.97,0.37,Online
West Gear,1105732,02/02/2021,Northeast,New Jersey,Trenton,Women's Athletic Footwear,83,64,5312.0,2493.34,0.47,In-store
Walmart,1197831,02/02/2021,South,Arkansas,Fayetteville,Women's Athletic Footwear,80,360,28800.0,7447.0,0.26,Outlet
Amazon,1167421,02/02/2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,61,311,18971.0,5828.33,0.31,In-store
Amazon,1167421,02/02/2021,Southeast,Florida,Orlando,Men's Apparel,49,365,17885.0,7824.09,0.44,In-store
Walmart,1197831,02/02/2021,Midwest,Ohio,Columbus,Women's Street Footwear,44,196,8624.0,2900.81,0.34,Outlet
Foot Locker,1185732,02/02/2021,West,Nevada,Las Vegas,Women's Athletic Footwear,81,100,8100.0,3944.43,0.49,In-store
West Gear,1105732,02/02/2021,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,66,224,14784.0,5575.1,0.38,Online
Sports Direct,1128299,02/03/2020,Southeast,North Carolina,Durham,Women's Athletic Footwear,79,68,5372.0,1396.79,0.26,Outlet
Foot Locker,1185732,02/03/2020,West,Oregon,Eugene,Women's Street Footwear,65,88,5720.0,1956.1,0.34,In-store
Kohl's,1189833,02/03/2020,West,California,Sacramento,Men's Athletic Footwear,77,41,3157.0,998.11,0.32,Online
Amazon,1167421,02/03/2020,South,Oklahoma,Norman,Women's Apparel,50,154,7700.0,3123.02,0.41,Online
Walmart,1197831,02/03/2020,Midwest,Indiana,Indianapolis,Women's Apparel,44,227,9988.0,3503.4,0.35,In-store
Kohl's,1189833,02/03/2020,South,Louisiana,Baton Rouge,Men's Street Footwear,49,214,10486.0,3784.87,0.36,In-store
Amazon,1167421,02/03/2020,Northeast,New Jersey,Jersey City,Men's Street Footwear,68,192,13056.0,4364.26,0.33,Online
West Gear,1105732,02/03/2020,Midwest,Minnesota,Saint Paul,Women's Apparel,37,281,10397.0,3645.88,0.35,In-store
Sports Direct,1128299,02/03/2020,Southeast,North Carolina,Durham,Women's Street Footwear,47,363,17061.0,5938.0,0.35,In-store
Kohl's,1189833,02/03/2020,Midwest,Michigan,Grand Rapids,Women's Apparel,57,278,15846.0,6173.79,0.39,In-store
Foot Locker,1185732,02/03/2020,Southeast,Georgia,Augusta,Men's Street Footwear,70,243,17010.0,7409.37,0.44,In-store
Sports Direct,1128299,02/03/2020,Midwest,Illinois,Chicago,Women's Street Footwear,39,299,11661.0,4603.02,0.39,In-store
Walmart,1197831,02/03/2020,Southeast,North Carolina,Durham,Women's Street Footwear,64,176,11264.0,2675.7,0.24,Outlet
Walmart,1197831,02/03/2020,Southeast,Florida,Jacksonville,Women's Athletic Footwear,74,135,9990.0,2832.95,0.28,Outlet
Amazon,1167421,02/03/2020,Midwest,Ohio,Cincinnati,Men's Apparel,28,64,1792.0,833.48,0.47,In-store
West Gear,1105732,02/03/2021,Midwest,Minnesota,Saint Paul,Women's Athletic Footwear,83,360,29880.0,9689.51,0.32,Outlet
Amazon,1167421,02/03/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,68,91,6188.0,2508.3,0.41,In-store
Amazon,1167421,02/03/2021,Midwest,Minnesota,Minneapolis,Men's Apparel,59,298,17582.0,6523.6,0.37,Online
Amazon,1167421,02/03/2021,West,Nevada,Reno,Women's Street Footwear,55,52,2860.0,697.05,0.24,Outlet
Walmart,1197831,02/03/2021,Midwest,Indiana,Fort Wayne,Women's Apparel,36,72,2592.0,1092.68,0.42,Online
Walmart,1197831,02/03/2021,South,Oklahoma,Norman,Men's Street Footwear,53,347,18391.0,4513.88,0.25,Outlet
Kohl's,1189833,02/03/2021,Northeast,Connecticut,Hartford,Men's Athletic Footwear,57,236,13452.0,4788.17,0.36,Online
Foot Locker,1185732,02/03/2021,West,California,San Francisco,Women's Street Footwear,63,110,6930.0,1905.26,0.27,Outlet
West Gear,1105732,02/03/2021,Northeast,New Jersey,Newark,Men's Apparel,27,107,2889.0,1245.13,0.43,In-store
Sports Direct,1128299,02/03/2021,South,Texas,Houston,Men's Athletic Footwear,74,200,14800.0,4846.84,0.33,In-store
Walmart,1197831,02/03/2021,Southeast,Tennessee,Knoxville,Men's Apparel,38,332,12616.0,3638.43,0.29,Online
Walmart,1197831,02/03/2021,Northeast,New York,Albany,Men's Street Footwear,54,178,9612.0,3231.75,0.34,Online
Kohl's,1189833,02/03/2021,South,Oklahoma,Oklahoma City,Women's Apparel,44,239,10516.0,3831.22,0.36,Outlet
West Gear,1105732,02/04/2020,Midwest,Illinois,Springfield,Women's Athletic Footwear,62,384,23808.0,9502.47,0.4,Online
West Gear,1105732,02/04/2020,Midwest,Michigan,Ann Arbor,Men's Athletic Footwear,83,74,6142.0,2185.44,0.36,In-store
Sports Direct,1128299,02/04/2020,Midwest,Illinois,Peoria,Men's Street Footwear,46,234,10764.0,3558.59,0.33,Online
West Gear,1105732,02/04/2020,Northeast,Pennsylvania,Pittsburgh,Women's Athletic Footwear,52,384,19968.0,6034.7,0.3,In-store
Walmart,1197831,02/04/2020,Midwest,Minnesota,Rochester,Men's Street Footwear,43,309,13287.0,4175.85,0.31,Online
Sports Direct,1128299,02/04/2020,South,Louisiana,Shreveport,Men's Athletic Footwear,65,324,21060.0,9426.56,0.45,Online
Amazon,1167421,02/04/2020,Northeast,New Jersey,Jersey City,Men's Apparel,54,166,8964.0,2541.94,0.28,Outlet
Foot Locker,1185732,02/04/2020,West,Oregon,Salem,Men's Street Footwear,40,152,6080.0,1849.09,0.3,Online
West Gear,1105732,02/04/2020,West,California,Sacramento,Women's Street Footwear,59,241,14219.0,6098.9,0.43,In-store
West Gear,1105732,02/04/2020,South,Arkansas,Little Rock,Women's Apparel,33,270,8910.0,3901.77,0.44,In-store
Amazon,1167421,02/04/2020,Southeast,Georgia,Augusta,Women's Apparel,53,342,18126.0,5799.77,0.32,In-store
Walmart,1197831,02/04/2020,Northeast,New Jersey,Newark,Men's Street Footwear,66,180,11880.0,4748.69,0.4,Online
Foot Locker,1185732,02/04/2020,Northeast,Massachusetts,Worcester,Men's Apparel,41,63,2583.0,854.51,0.33,Outlet
Kohl's,1189833,02/04/2020,Midwest,Illinois,Springfield,Women's Apparel,55,173,9515.0,3827.0,0.4,In-store
West Gear,1105732,02/04/2020,Midwest,Michigan,Grand Rapids,Men's Athletic Footwear,89,363,32307.0,14469.83,0.45,In-store
Walmart,1197831,02/04/2021,South,Louisiana,Baton Rouge,Women's Apparel,61,340,20740.0,7308.96,0.35,Online
Amazon,1167421,02/04/2021,Southeast,Florida,Miami,Men's Athletic Footwear,56,186,10416.0,3576.17,0.34,In-store
Sports Direct,1128299,02/04/2021,West,California,San Diego,Women's Athletic Footwear,82,326,26732.0,7593.65,0.28,Outlet
Amazon,1167421,02/04/2021,Midwest,Ohio,Cincinnati,Men's Street Footwear,52,343,17836.0,4283.32,0.24,Outlet
Foot Locker,1185732,02/04/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,69,368,25392.0,8636.34,0.34,Online
Foot Locker,1185732,02/04/2021,West,California,Los Angeles,Women's Street Footwear,53,70,3710.0,1608.89,0.43,In-store
Sports Direct,1128299,02/04/2021,South,Louisiana,Shreveport,Men's Apparel,42,287,12054.0,4429.61,0.37,Outlet
Amazon,1167421,02/04/2021,Southeast,Tennessee,Knoxville,Women's Street Footwear,41,370,15170.0,6564.25,0.43,In-store
Kohl's,1189833,02/04/2021,Northeast,Massachusetts,Springfield,Men's Street Footwear,74,67,4958.0,1638.87,0.33,Outlet
Foot Locker,1185732,02/04/2021,Midwest,Ohio,Cleveland,Men's Street Footwear,49,252,12348.0,3656.67,0.3,Outlet
Walmart,1197831,02/04/2021,Midwest,Minnesota,Rochester,Men's Athletic Footwear,59,330,19470.0,8298.36,0.43,Online
Kohl's,1189833,02/04/2021,West,Washington,Tacoma,Men's Athletic Footwear,86,253,21758.0,8030.52,0.37,Outlet
Kohl's,1189833,02/04/2021,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,64,388,24832.0,6118.47,0.25,Outlet
Amazon,1167421,02/05/2020,South,Louisiana,Baton Rouge,Men's Street Footwear,69,372,25668.0,8243.33,0.32,Outlet
Sports Direct,1128299,02/05/2020,Northeast,New York,Buffalo,Men's Apparel,31,308,9548.0,3338.62,0.35,In-store
Sports Direct,1128299,02/05/2020,Northeast,Massachusetts,Boston,Women's Street Footwear,68,367,24956.0,8087.37,0.32,In-store
Amazon,1167421,02/05/2020,Southeast,Florida,Miami,Men's Athletic Footwear,84,256,21504.0,7376.31,0.34,Online
Kohl's,1189833,02/05/2020,Southeast,Virginia,Virginia Beach,Women's Apparel,50,201,10050.0,3415.79,0.34,Outlet
Amazon,1167421,02/05/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,49,120,5880.0,2164.83,0.37,Outlet
West Gear,1105732,02/05/2020,Midwest,Minnesota,Rochester,Men's Street Footwear,42,289,12138.0,4723.62,0.39,Online
Walmart,1197831,02/05/2020,South,Texas,Houston,Men's Apparel,58,40,2320.0,705.09,0.3,In-store
Amazon,1167421,02/05/2020,Midwest,Michigan,Ann Arbor,Women's Athletic Footwear,72,394,28368.0,10560.73,0.37,Outlet
Walmart,1197831,02/05/2020,South,Arkansas,Fort Smith,Women's Athletic Footwear,52,96,4992.0,1938.08,0.39,Online
Walmart,1197831,02/05/2021,Northeast,New Jersey,Jersey City,Women's Apparel,61,142,8662.0,3630.12,0.42,Online
West Gear,1105732,02/05/2021,Southeast,North Carolina,Raleigh,Women's Street Footwear,36,234,8424.0,3119.31,0.37,In-store
Foot Locker,1185732,02/05/2021,Northeast,Massachusetts,Boston,Women's Athletic Footwear,79,216,17064.0,7213.82,0.42,Online
Kohl's,1189833,02/05/2021,Midwest,Ohio,Columbus,Women's Street Footwear,47,317,14899.0,6678.57,0.45,Online
Sports Direct,1128299,02/05/2021,Midwest,Ohio,Cincinnati,Men's Street Footwear,45,180,8100.0,3211.48,0.4,In-store
Kohl's,1189833,02/05/2021,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,85,150,12750.0,5494.84,0.43,Online
Kohl's,1189833,02/05/2021,Northeast,Massachusetts,Springfield,Women's Apparel,60,209,12540.0,3584.83,0.29,Outlet
Amazon,1167421,02/05/2021,West,Oregon,Portland,Women's Street Footwear,53,297,15741.0,4728.58,0.3,Outlet
Kohl's,1189833,02/05/2021,Northeast,Massachusetts,Boston,Women's Street Footwear,66,398,26268.0,11754.84,0.45,In-store
Kohl's,1189833,02/05/2021,Southeast,Virginia,Virginia Beach,Women's Athletic Footwear,51,293,14943.0,6274.77,0.42,In-store
West Gear,1105732,02/05/2021,Midwest,Indiana,Fort Wayne,Women's Athletic Footwear,66,83,5478.0,1532.37,0.28,Online
West Gear,1105732,02/05/2021,West,Nevada,Las Vegas,Women's Apparel,62,195,12090.0,2949.4,0.24,Outlet
Walmart,1197831,02/05/2021,Northeast,New York,New York,Men's Street Footwear,44,376,16544.0,5274.95,0.32,Outlet
West Gear,1105732,02/05/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,87,60,5220.0,1772.01,0.34,In-store
Kohl's,1189833,02/06/2020,South,Oklahoma,Norman,Men's Athletic Footwear,52,233,12116.0,3033.38,0.25,Outlet
West Gear,1105732,02/06/2020,Southeast,Florida,Orlando,Women's Street Footwear,37,260,9620.0,2608.56,0.27,Outlet
Amazon,1167421,02/06/2020,Northeast,Pennsylvania,Allentown,Men's Athletic Footwear,85,107,9095.0,3160.72,0.35,Online
Foot Locker,1185732,02/06/2020,South,Oklahoma,Oklahoma City,Men's Apparel,29,132,3828.0,1262.96,0.33,Outlet
Foot Locker,1185732,02/06/2020,Northeast,New York,New York,Men's Street Footwear,72,396,28512.0,10443.99,0.37,In-store
Foot Locker,1185732,02/06/2020,Midwest,Michigan,Ann Arbor,Men's Street Footwear,50,151,7550.0,2361.45,0.31,In-store
